match_id,region,game_creation,game_version,queue_id,team_id,side,win,gold_15,damage_dealt,kills,wards_placed,match_duration_min,damage_per_min
EUW1_6996694805,EUW,1720375117320,14.13.598.9749,420,100,blue,1,5002.2,157265.0,51,77,35.666666666666664,4409.299065420561
EUW1_6996694805,EUW,1720375117320,14.13.598.9749,420,200,red,0,5189.4,147668.0,31,70,35.666666666666664,4140.22429906542
EUW1_6996738197,EUW,1720377624101,14.13.598.9749,420,100,blue,0,4784.4,44892.0,10,37,20.266666666666666,2215.065789473684
EUW1_6996738197,EUW,1720377624101,14.13.598.9749,420,200,red,1,6117.4,54175.0,28,30,20.266666666666666,2673.108552631579
EUW1_6997066405,EUW,1720396807823,14.13.598.9749,420,100,blue,1,5792.0,69781.0,24,38,22.9,3047.205240174673
EUW1_6997066405,EUW,1720396807823,14.13.598.9749,420,200,red,0,5040.2,40046.0,9,49,22.9,1748.7336244541486
EUW1_6997069997,EUW,1720396302925,14.13.598.9749,420,100,blue,1,539.8,231.0,0,1,1.9,121.57894736842105
EUW1_6997069997,EUW,1720396302925,14.13.598.9749,420,200,red,0,517.6,360.0,0,0,1.9,189.47368421052633
EUW1_6997389859,EUW,1720448606443,14.13.598.9749,420,100,blue,0,4993.8,147726.0,23,77,35.53333333333333,4157.392120075047
EUW1_6997389859,EUW,1720448606443,14.13.598.9749,420,200,red,1,4704.6,153854.0,39,69,35.53333333333333,4329.84990619137
EUW1_6997568789,EUW,1720459891979,14.13.598.9749,420,100,blue,1,5098.4,121798.0,34,57,32.766666666666666,3717.131230925738
EUW1_6997568789,EUW,1720459891979,14.13.598.9749,420,200,red,0,5455.4,127419.0,26,62,32.766666666666666,3888.677517802645
EUW1_6997627750,EUW,1720462948858,14.13.598.9749,420,100,blue,1,5727.4,140080.0,45,59,33.15,4225.641025641025
EUW1_6997627750,EUW,1720462948858,14.13.598.9749,420,200,red,0,5368.4,141169.0,39,70,33.15,4258.491704374058
EUW1_6997674138,EUW,1720465483052,14.13.598.9749,420,100,blue,0,5061.0,97633.0,17,65,34.11666666666667,2861.7391304347825
EUW1_6997674138,EUW,1720465483052,14.13.598.9749,420,200,red,1,5347.4,136683.0,46,79,34.11666666666667,4006.3409868099657
EUW1_7001120292,EUW,1720802644292,14.13.598.9749,420,100,blue,0,4949.0,56722.0,17,69,26.266666666666662,2159.4670050761424
EUW1_7001120292,EUW,1720802644292,14.13.598.9749,420,200,red,1,5061.6,90886.0,26,55,26.266666666666662,3460.1269035533
EUW1_7058661335,EUW,1722629576266,14.15.604.8769,420,100,blue,0,5038.8,94370.0,29,79,33.266666666666666,2836.7735470941884
EUW1_7058661335,EUW,1722629576266,14.15.604.8769,420,200,red,1,5467.4,118339.0,24,67,33.266666666666666,3557.2845691382768
EUW1_7058763672,EUW,1722631978223,14.15.604.8769,420,100,blue,1,5219.0,176167.0,37,70,39.0,4517.102564102564
EUW1_7058763672,EUW,1722631978223,14.15.604.8769,420,200,red,0,5127.0,147033.0,39,93,39.0,3770.076923076923
EUW1_7059379125,EUW,1722675271450,14.15.604.8769,420,100,blue,1,5686.8,90427.0,27,54,28.96666666666666,3121.7606444188727
EUW1_7059379125,EUW,1722675271450,14.15.604.8769,420,200,red,0,5083.2,73480.0,21,58,28.96666666666666,2536.708860759494
EUW1_7061116842,EUW,1722735130180,14.15.604.8769,420,100,blue,1,6087.0,108867.0,44,35,25.566666666666666,4258.161668839635
EUW1_7061116842,EUW,1722735130180,14.15.604.8769,420,200,red,0,5302.0,77020.0,21,50,25.566666666666666,3012.51629726206
EUW1_7070692719,EUW,1723232842785,14.15.607.22,420,100,blue,1,5790.2,80605.0,28,41,21.533333333333335,3743.2662538699688
EUW1_7070692719,EUW,1723232842785,14.15.607.22,420,200,red,0,4865.2,53125.0,6,58,21.533333333333335,2467.1052631578946
EUW1_7070738378,EUW,1723234520186,14.15.607.22,420,100,blue,1,6201.8,91730.0,33,49,24.1,3806.224066390041
EUW1_7070738378,EUW,1723234520186,14.15.607.22,420,200,red,0,5057.8,74749.0,19,50,24.1,3101.6182572614107
EUW1_7070807796,EUW,1723236468462,14.15.607.22,420,100,blue,0,5322.0,112045.0,31,45,30.05,3728.6189683860234
EUW1_7070807796,EUW,1723236468462,14.15.607.22,420,200,red,1,5556.2,124592.0,34,62,30.05,4146.1564059900165
EUW1_7072838035,EUW,1723369463407,14.15.607.22,420,100,blue,0,5225.2,96902.0,33,57,30.116666666666667,3217.5539568345325
EUW1_7072838035,EUW,1723369463407,14.15.607.22,420,200,red,1,6149.2,133033.0,41,68,30.116666666666667,4417.255118981738
EUW1_7072876455,EUW,1723371876710,14.15.607.22,420,100,blue,1,6063.4,70981.0,26,38,20.083333333333332,3534.3236514522823
EUW1_7072876455,EUW,1723371876710,14.15.607.22,420,200,red,0,4780.6,52907.0,11,35,20.083333333333332,2634.3734439834025
EUW1_7080279019,EUW,1723812520706,14.16.609.8277,420,100,blue,0,5242.4,71551.0,21,26,22.383333333333333,3196.619508562919
EUW1_7080279019,EUW,1723812520706,14.16.609.8277,420,200,red,1,7085.6,100425.0,44,35,22.383333333333333,4486.597170513775
EUW1_7087437290,EUW,1724265474201,14.16.609.8277,420,100,blue,1,5940.4,60853.0,27,31,20.45,2975.6968215158927
EUW1_7087437290,EUW,1724265474201,14.16.609.8277,420,200,red,0,4759.4,48792.0,12,32,20.45,2385.916870415648
EUW1_7087470402,EUW,1724267185556,14.16.609.8277,420,100,blue,1,6108.6,96991.0,37,30,22.416666666666668,4326.736059479554
EUW1_7087470402,EUW,1724267185556,14.16.609.8277,420,200,red,0,4702.6,66408.0,14,42,22.416666666666668,2962.438661710037
EUW1_7087557564,EUW,1724270483089,14.16.609.8277,420,100,blue,0,5336.0,74844.0,18,48,24.9,3005.783132530121
EUW1_7087557564,EUW,1724270483089,14.16.609.8277,420,200,red,1,5099.6,79051.0,26,57,24.9,3174.7389558232935
EUW1_7087614707,EUW,1724273079492,14.16.609.8277,420,100,blue,0,5002.6,95298.0,24,65,31.1,3064.2443729903534
EUW1_7087614707,EUW,1724273079492,14.16.609.8277,420,200,red,1,5531.0,124887.0,33,74,31.1,4015.659163987138
EUW1_7088278064,EUW,1724342873559,14.16.609.8277,420,100,blue,1,5480.2,96062.0,30,55,28.45,3376.5202108963094
EUW1_7088278064,EUW,1724342873559,14.16.609.8277,420,200,red,0,4762.6,86769.0,13,49,28.45,3049.8769771529
